,zonas,enderecos,precos,areas,quartos
194,sul,"Rua Itatiaia, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",2000,62,2.0
195,sul,"Rua Dona Leopoldina, Ipiranga, São Paulo Zona Sul, São Paulo",4400,97,2.0
196,sul,"Rua Viena, Jardim Santa Cruz (sacomã), São Paulo Zona Sul, São Paulo",1470,50,2.0
197,sul,"Rua Doutora Neyde Apparecida Sollitto, Vila Clementino, São Paulo Zona Sul, São Paulo",1999,55,
198,sul,"Rua Giovanni Boltraffio, Vila Santa Teresa (zona Sul), São Paulo Zona Sul, São Paulo",1068,60,2.0
199,sul,"Rua Pamplona, Jardim Paulista, São Paulo Zona Sul, São Paulo",3605,110,2.0
200,sul,"Rua Rita Joana De Sousa, Brooklin Novo, São Paulo Zona Sul, São Paulo",5197,160,3.0
201,sul,"Rua Mil Oitocentos E Vinte E Dois, Ipiranga, São Paulo Zona Sul, São Paulo",2575,69,2.0
202,sul,"Rua Capitão Otávio Machado, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",5610,160,2.0
203,sul,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",3774,76,2.0
204,sul,"Rua Ibituruna, São Judas, São Paulo Zona Sul, São Paulo",2393,70,2.0
205,sul,"Rua Dona Cesária Fagundes, Saúde, São Paulo Zona Sul, São Paulo",3570,215,3.0
206,sul,"Rua Freire Brayner, Vila Heliópolis, São Paulo Zona Sul, São Paulo",1751,62,2.0
207,sul,"Rua Natuba, Vila Isa, São Paulo Zona Sul, São Paulo",2584,70,2.0
208,sul,"Rua Dos Macaxás, Vila Nair, São Paulo Zona Sul, São Paulo",2200,56,2.0
209,sul,"Avenida Damasceno Vieira, Vila Mascote, São Paulo Zona Sul, São Paulo",1836,55,2.0
210,sul,"Rua José Antônio Coelho, Vila Mariana, São Paulo Zona Sul, São Paulo",4850,97,2.0
211,sul,"Rua Charles Spencer Chaplin, Vila Andrade, São Paulo Zona Sul, São Paulo",2500,49,
212,sul,"Avenida Santo Albano, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",1185,36,
213,sul,"Rua Carlos Steinen, Paraíso, São Paulo Zona Sul, São Paulo",8000,215,4.0
